variant_a,variant_b,case_set,n_both_solved,n_only_a,n_only_b,n_neither,jaccard,n_both_failed
A,A,c1,15,0,0,10,1.0000,10
A,A_strict,c1,12,3,0,10,0.8000,10
A,B,c1,15,0,3,7,0.8333,7
A,B_strict,c1,15,0,1,9,0.9375,9
A,C,c1,14,1,3,7,0.7778,7
A,C_strict,c1,14,1,3,7,0.7778,7
A,D,c1,13,2,1,9,0.8125,9
A,E,c1,15,0,2,8,0.8824,8
A,F,c1,12,3,0,10,0.8000,10
A,F_strict,c1,12,3,2,8,0.7059,8
A,G,c1,14,1,1,9,0.8750,9
A,G_strict,c1,12,3,1,9,0.7500,9
A,H,c1,14,1,0,10,0.9333,10
A,I,c1,14,1,1,9,0.8750,9
A,J,c1,14,1,1,9,0.8750,9
A,K,c1,11,4,0,10,0.7333,10
A,L,c1,10,5,0,10,0.6667,10
A,M,c1,12,3,1,9,0.7500,9
A,N,c1,11,4,2,8,0.6471,8
A,P,c1,13,2,3,7,0.7222,7
A,rafe_gpt120b,c1,11,4,8,2,0.4783,2
A,rafe_gpt_plan_critic_qwen,c1,9,6,6,4,0.4286,4
A,rafe_gpt_plan_qwen_code,c1,9,6,8,2,0.3913,2
A,rafe_gpt_plan_qwen_code_rev,c1,10,5,5,5,0.5000,5
A,rafe_mcts_baseline,c1,7,8,5,5,0.3500,5
A,rafe_mcts_critic_gate,c1,9,6,5,5,0.4500,5
A,rafe_mcts_plan_critic,c1,8,7,6,4,0.3810,4
A,rafe_qwen,c1,10,5,8,2,0.4348,2
A_strict,A_strict,c1,12,0,0,13,1.0000,13
A_strict,B,c1,12,0,6,7,0.6667,7
A_strict,B_strict,c1,12,0,4,9,0.7500,9
A_strict,C,c1,11,1,6,7,0.6111,7
A_strict,C_strict,c1,11,1,6,7,0.6111,7
A_strict,D,c1,11,1,3,10,0.7333,10
A_strict,E,c1,12,0,5,8,0.7059,8
A_strict,F,c1,10,2,2,11,0.7143,11
A_strict,F_strict,c1,10,2,4,9,0.6250,9
A_strict,G,c1,12,0,3,10,0.8000,10
A_strict,G_strict,c1,11,1,2,11,0.7857,11
A_strict,H,c1,11,1,3,10,0.7333,10
A_strict,I,c1,12,0,3,10,0.8000,10
A_strict,J,c1,11,1,4,9,0.6875,9
A_strict,K,c1,10,2,1,12,0.7692,12
A_strict,L,c1,9,3,1,12,0.6923,12
A_strict,M,c1,9,3,4,9,0.5625,9
A_strict,N,c1,11,1,2,11,0.7857,11
A_strict,P,c1,10,2,6,7,0.5556,7
A_strict,rafe_gpt120b,c1,9,3,10,3,0.4091,3
