instance_id,run_id,solved,stopped_reason,duration_s,total_tokens_in,total_tokens_out,planner_tokens_in,planner_tokens_out,coder_tokens_in,coder_tokens_out,reviewer_tokens_in,reviewer_tokens_out,value_tokens_in,value_tokens_out,coder_model,planner_model,reviewer_model,tree_nodes,best_node_depth,best_node_value,mcts_iterations,avg_branching_factor,max_branches,cost_usd,variant,case_set,solve_int,total_tokens
board_rollup_001,A_c1_9b_mcts,True,auto_finalized,100.83,12633,656,694,198,11939,458,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,5,4,42.49405487999999,18,1.0,1,0.0013617000000000002,A,c1,1,13289
budget_snapshot_001,A_c1_9b_mcts,False,reviewer_rejected,323.43,90141,1714,738,190,86951,1222,2452,302,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,19,18,0.0,18,1.0,1,0.0092712,A,c1,0,91855
contact_card_001,A_c1_9b_mcts,False,reviewer_rejected,314.63,111790,2478,643,197,109399,2008,1748,273,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,19,18,0.0,18,1.0,1,0.011550700000000002,A,c1,0,114268
digest_preview_001,A_c1_9b_mcts,False,reviewer_rejected,431.28,132419,2601,797,346,129267,2014,2355,241,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,19,18,1.7338537876291222,18,1.0,1,0.013632050000000001,A,c1,0,135020
incident_brief_001,A_c1_9b_mcts,True,auto_finalized,113.02,20346,1167,769,237,19577,930,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,7,6,49.97832029573999,18,1.0,1,0.00220965,A,c1,1,21513
invoice_footer_001,A_c1_9b_mcts,True,auto_finalized,518.07,74555,1964,626,227,72791,1581,1138,156,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,10,9,28.888780228873472,18,1.0,1,0.0077501,A,c1,1,76519
label_formatter_001,A_c1_9b_mcts,True,auto_finalized,163.62,36287,1845,597,156,35690,1689,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,8,7,35.55124517036971,18,1.0,1,0.00390545,A,c1,1,38132
median_window_001,A_c1_9b_mcts,True,auto_finalized,95.29,10997,484,575,160,10422,324,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0011723,A,c1,1,11481
milestone_rollup_001,A_c1_9b_mcts,False,reviewer_rejected,115.35,13799,628,618,159,12242,283,939,186,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,5,4,0.0,18,1.0,1,0.0014741,A,c1,0,14427
nested_app_001,A_c1_9b_mcts,True,auto_finalized,187.49,44340,2057,705,202,43635,1855,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,9,8,34.484707815258616,18,1.0,1,0.00474255,A,c1,1,46397
owner_recap_001,A_c1_9b_mcts,True,auto_finalized,158.63,45407,1605,818,259,44589,1346,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,11,9,34.97062869810999,18,1.1111111111111112,2,0.0047814500000000005,A,c1,1,47012
