run_id,instance_id,reviewer_size,actually_solved,reviewer_decision,reviewer_confidence,reviewer_reason,has_patch,tokens_in,tokens_out,cached,tp,fp,fn,tn
A_c1_9b_mcts,board_rollup_001,9b,True,accept,high,"The patch correctly filters out archived cards before calculating the alert count, directly addressing the root cause of including inactive cards.",True,545,57,True,1,0,0,0
A_c1_9b_mcts,board_rollup_001,30b,True,revise,high,"The patch only changes the alert count calculation to use active cards but does not address the requirement to filter for cards that still need attention, potentially leaving inactive or resolved cards in the count.",True,516,90,True,0,0,1,0
A_c1_9b_mcts,board_rollup_001,120b,True,accept,high,"The patch correctly changes the alert count to use only active (non‑archived) cards, addressing the root cause without affecting tests.",True,570,426,True,1,0,0,0
A_c1_9b_mcts,budget_snapshot_001,9b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,budget_snapshot_001,30b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,budget_snapshot_001,120b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,contact_card_001,9b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,contact_card_001,30b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,contact_card_001,120b,False,revise,high,empty patch,False,0,0,True,0,0,0,1
A_c1_9b_mcts,digest_preview_001,9b,False,revise,high,The patch adds only comments without implementing the actual logic to handle apostrophes or special characters in owner names as described in the root cause.,True,563,127,True,0,0,0,1
A_c1_9b_mcts,digest_preview_001,30b,False,revise,high,"The patch modifies text.py but the root cause points to report_presenter.py, and the change itself is incomplete and does not address the actual issue of handling special characters in owner names.",True,533,106,True,0,0,0,1
A_c1_9b_mcts,digest_preview_001,120b,False,revise,high,"The patch only adds comments without altering the logic that handles apostrophes, so it does not actually fix the owner name rendering issue.",True,580,365,True,0,0,0,1
A_c1_9b_mcts,incident_brief_001,9b,True,accept,high,"The patch correctly addresses the root cause by adding a check for `incident.muted` to exclude muted incidents from the urgent count, aligning with the hypothesis that muted low-severity incidents were being incorrectly included.",True,592,76,True,1,0,0,0
A_c1_9b_mcts,incident_brief_001,30b,True,revise,medium,"The patch modifies the rollup logic to exclude muted incidents, but the root cause hypothesis suggests the issue may involve low-severity incidents being included; the fix does not address severity filtering and may not resolve the reported behavior.",True,560,110,True,0,0,1,0
A_c1_9b_mcts,incident_brief_001,120b,True,accept,high,"The patch adds the missing muted check to the urgent incident count, directly fixing the rollup logic identified as the root cause.",True,608,328,True,1,0,0,0
A_c1_9b_mcts,invoice_footer_001,9b,True,revise,high,"The patch attempts to fix trailing zero issues by manually appending '0' in the footer presenter and modifying the currency formatter to always output two decimal places, but the logic in currency.py is flawed because it incorrectly handles cases where cents end in 0 (e.g., 10 cents becomes '1.00' instead of '1.10' due to integer division truncation) and fails to handle the case where cents is 0 correctly in the original logic flow.",True,764,214,True,0,0,1,0
A_c1_9b_mcts,invoice_footer_001,30b,True,accept,high,The patch correctly fixes the trailing zero issue by ensuring two decimal places in currency formatting and handles edge cases like whole numbers and tenths properly.,True,734,57,True,1,0,0,0
A_c1_9b_mcts,invoice_footer_001,120b,True,error,,parse_failed,True,1563,1024,True,0,0,0,0
A_c1_9b_mcts,label_formatter_001,9b,True,revise,high,"The patch removes all internal whitespace by splitting and rejoining, which directly contradicts the requirement to preserve meaningful spacing inside labels.",True,510,94,True,0,0,1,0
